Name,Observed Wavelength of H-alpha,RA J2000.0,Dec J2000.0
PGC038299,6586.606911119115,12 05 32.7,+14 29 24
PGC1402698,6585.075117628912,12 06 40.7,+12 02 04
PGC166122,6591.113659990926,12 06 54.1,+17 20 25
PGC3291470,6555.825770767348,12 06 57.1,+00 39 47
PGC2806927,6592.250286936754,12 07 30.6,+18 41 02
PGC1233241,6575.281261765332,12 07 34.5,+02 38 24
NGC4116,6569.439743496391,12 07 36.9,+02 41 31
PGC1560780,6596.257601359557,12 07 41.2,+18 28 49
NGC4119,6611.068654680787,12 08 09.6,+10 22 44
NGC4123,6536.938675805343,12 08 11.1,+02 52 42
PGC1580851,6571.436203067837,12 08 12.1,+19 06 38
PGC1229057,6574.872969464229,12 08 20.0,+02 30 20
PGC038539,6551.342422843958,12 08 20.3,+13 41 02
AGC226030,6596.314364724978,12 08 20.7,+12 30 05
PGC3122921,6580.381026923061,12 08 24.2,+03 00 48
AGC220133,6584.707523799657,12 08 31.7,+15 05 45
UGC07133,6595.632553685067,12 09 19.7,+18 59 50
SDSSJ120920.02+242649.5,6583.097359941386,12 09 20.0,+24 26 49
PGC1728559,6589.784725673577,12 09 21.2,+25 12 03
IC3019,6560.372383816808,12 09 22.3,+13 59 33
IC3017,6581.284083650529,12 09 25.0,+13 34 28
UGC07138,6594.387005221554,12 09 28.8,+26 13 35
GR10,6597.399718897985,12 09 42.6,+20 02 50
UGC07143,6575.637001484132,12 09 46.7,+25 01 34
EVCC0116,6584.0566553165945,12 09 47.2,+13 00 54
SDSSJ120950.58+125411.4,6589.204487512612,12 09 50.6,+12 54 11
IC3021,6582.130983454549,12 09 54.6,+13 02 59
SDSSJ120958.86+250106.3,6593.831011524329,12 09 58.9,+25 01 06
IC3023,6594.402829835096,12 10 01.8,+14 22 00
PGC1397674,6569.899205334253,12 10 03.3,+11 42 49
IC3025,6579.590032150062,12 10 23.1,+10 11 19
PGC038728,6573.573985526369,12 10 24.3,+13 10 14
SDSSJ121032.03+142923.1,6610.707946736209,12 10 32.0,+14 29 23
PGC038747,6596.098514635298,12 10 35.7,+11 45 39
UGC07170,6600.515745355737,12 10 37.0,+18 49 42
NGC4152,6577.9317975801305,12 10 37.5,+16 01 59
AGC224696,6578.77203113253,12 10 38.0,+13 01 19
PGC038754,6606.4385468568935,12 10 40.9,+14 38 46
SDSSJ121044.99+075205.0,6573.880735903816,12 10 45.0,+07 52 05
PGC1696046,6594.673616673783,12 10 46.3,+23 54 55
PGC038771,6605.095065059119,12 10 49.0,+15 15 09
PGC038779,6592.797983451335,12 10 54.6,+15 56 47
PGC1724251,6581.631219380113,12 10 55.8,+25 03 34
PGC038784,6564.226265743397,12 10 57.1,+09 13 10
SDSSJ121058.17+241438.5,6582.309981002028,12 10 58.2,+24 14 39
IC0767,6615.652116348238,12 11 02.7,+12 06 14
UGC07178,6574.313490333971,12 11 03.6,+02 00 20
IC3032,6599.420749438699,12 11 07.7,+14 16 29
PGC1537492,6576.095443062644,12 11 08.6,+17 37 53
IC3033,6595.520600606714,12 11 10.0,+13 35 15
NGC4158,6626.839481034435,12 11 10.2,+20 10 32
PGC1674681,6589.541140900153,12 11 12.0,+22 42 18
PGC1565426,6591.594064685315,12 11 18.3,+18 38 05
UGC07184,6571.846396510389,12 11 19.9,+01 29 32
UGC07186,6591.650388127768,12 11 22.4,+18 01 00
UGC07185,6589.66547439106,12 11 27.4,+02 55 32
PGC038835,6589.742042582619,12 11 34.8,+24 01 44
PGC038837,6618.919336714239,12 11 38.2,+16 28 43
SDSSJ121140.31+125824.5,6592.39813808597,12 11 40.3,+12 58 25
SDSSJ121141.87+131146.7,6583.150225887927,12 11 41.9,+13 11 47
PGC038844,6584.392841647508,12 11 45.7,+13 01 27
SDSSJ121145.94+131707.9,6590.1863317216175,12 11 45.9,+13 17 08
PGC1410554,6576.975679417867,12 11 46.8,+12 29 38
PGC1538667,6571.252147492325,12 11 49.9,+17 40 36
NGC4162,6591.912542098372,12 11 52.5,+24 07 25
PGC1441122,6599.854645539278,12 11 53.9,+13 48 30
PGC038859,6570.212441534977,12 11 57.7,+20 01 40
GAMA220751,6563.697369687315,12 11 58.3,+01 29 35
SDSSJ121159.46+055502.6,6600.254987260022,12 11 59.5,+05 55 03
SDSSJ121201.19+102354.4,6570.031081733364,12 12 01.2,+10 23 54
PGC038872,6595.7102876038725,12 12 04.4,+12 44 28
PGC038878,6572.862021159,12 12 06.7,+25 18 34
SDSSJ121210.92+025255.6,6571.934416022547,12 12 10.9,+02 52 56
PGC038883,6592.777773732567,12 12 11.0,+12 53 36
NGC4165,6589.563770634209,12 12 11.8,+13 14 47
MRK1313,6553.1342648867,12 12 14.7,+00 04 20
IC3036,6588.266241306838,12 12 15.1,+12 29 17
PGC1140236,6580.33197713288,12 12 15.9,-00 33 53
NGC4168,6586.224887699233,12 12 17.3,+13 12 19
PGC038893,6613.227440882394,12 12 19.0,+15 28 59
AGC229200,6579.044995593405,12 12 21.3,+02 56 23
SDSSJ121222.40+223529.1,6572.0531476935685,12 12 22.4,+22 35 29
PGC038899,6571.202037878534,12 12 22.7,+06 58 46
PGC135791,6581.858496817147,12 12 25.5,+02 48 36
IC0769,6594.571306726025,12 12 32.3,+12 07 25
PGC038926,6570.838147890867,12 12 36.1,+06 30 07
PGC3294258,6570.428837665309,12 12 37.7,+00 21 32
SDSSJ121240.72+065027.7,6564.714487535492,12 12 40.7,+06 50 28
PGC1415716,6588.336762782559,12 12 42.7,+12 45 46
PGC1760270,6595.249974485872,12 12 45.0,+26 02 25
NGC4178,6577.697651172779,12 12 46.3,+10 51 57
IC3044,6587.613669249138,12 12 48.5,+13 58 34
PGC038947,6579.0662881695225,12 12 49.1,+13 20 50
NGC4179,6574.92180294019,12 12 52.1,+01 17 59
PGC1589647,6586.817127174592,12 12 57.6,+19 21 43
PGC091181,6596.267360385762,12 12 59.8,+07 17 56
AGC229174,6574.89248853482,12 13 02.2,+01 15 38
NGC4180,6582.020987570788,12 13 03.1,+07 02 20
PGC038970,6614.284184986702,12 13 04.6,+15 53 34
AGC749454,6587.383283936876,12 13 05.1,+25 06 45
SDSSJ121309.41+133503.9,6597.121240894473,12 13 09.4,+13 35 04
PGC038980,6574.849899920376,12 13 10.7,+07 13 10
PGC1433167,6577.319760391543,12 13 13.7,+13 31 22
PGC038993,6601.291165921178,12 13 17.8,+13 09 34
UGC07223,6577.791114696353,12 13 26.3,+14 46 19
PGC039008,6589.590382223285,12 13 31.9,+10 18 39
IC3049,6570.300376133504,12 13 33.6,+14 28 51
PGC039012,6592.125244054797,12 13 35.8,+13 02 05
PGC1183373,6580.81173381976,12 13 37.5,+01 03 49
PGC1122171,6567.3438883639765,12 13 38.8,-01 17 37
PGC039018,6589.579796898059,12 13 41.1,+15 27 14
SDSSJ121341.42+090040.2,6572.3014848989615,12 13 41.4,+09 00 40
AGC225998,6586.532441438448,12 13 41.8,+12 53 52
PGC3294233,6570.644226254488,12 13 45.1,-00 16 58
NGC4189,6603.752297906384,12 13 47.3,+13 25 30
PGC039031,6582.2180724782265,12 13 48.2,+12 41 26
NGC4192,6589.498649838031,12 13 48.3,+14 54 00
UGC07236,6577.38673419768,12 13 49.0,+24 15 51
KK128,6581.055285419113,12 13 50.4,+05 21 13
NGC4191,6602.356227129675,12 13 50.4,+07 12 03
PGC039041,6575.150975700026,12 13 53.2,+07 27 16
NGC4193,6586.791202935823,12 13 53.6,+13 10 22
UGC07237,6609.747243492505,12 14 01.3,+17 54 00
PGC039052,6557.165953181623,12 14 02.2,+06 43 23
PGC135794,6543.121393964426,12 14 06.7,+01 39 40
UGC07239,6579.219023615183,12 14 09.2,+07 46 35
PGC1416088,6580.780038913558,12 14 12.1,+12 46 59
SDSSJ121413.79+085429.7,6561.852735913815,12 14 13.7,+08 54 30
PGC039080,6588.1010908460885,12 14 14.4,+13 32 34
PGC3294218,6580.437219491807,12 14 18.8,-00 50 51
SDSSJ121419.86+132706.4,6585.847642804723,12 14 19.9,+13 27 06
PGC039089,6586.664642114294,12 14 22.2,+14 58 43
PGC1307035,6567.027781810139,12 14 23.5,+06 45 51
SDSSJ121428.14+055431.1,6554.935825653719,12 14 28.1,+05 54 31
PGC039104,6603.528063003226,12 14 32.9,+12 06 12
PGC039108,6584.972624161707,12 14 34.7,+11 51 35
VCC114,6573.738846579788,12 14 35.3,+05 40 37
PGC039109,6570.9060310490495,12 14 35.7,+09 11 59
PGC039112,6589.187656231394,12 14 36.8,+09 41 23
UGC07249,6574.90299151682,12 14 37.2,+12 48 45
NGC4197,6579.143126830596,12 14 38.5,+05 48 20
SDSSJ121443.03+103159.1,6564.747986360054,12 14 43.0,+10 31 59
NGC4200,6591.6645303909045,12 14 44.2,+12 10 51
SDSSJ121444.59+124722.7,6602.528620620057,12 14 44.6,+12 47 23
SDSSJ121444.86+060916.2,6564.260555973922,12 14 44.9,+06 09 16
PGC089680,6579.616856660564,12 14 49.8,+17 43 08
PGC1368352,6595.616306712854,12 14 53.5,+09 40 11
IC3059,6585.147409137461,12 14 55.1,+13 27 38
PGC089681,6612.327248332516,12 14 56.7,+20 53 50
SDSSJ121458.02+075304.2,6588.443033296464,12 14 58.0,+07 53 04
PGC039144,6576.406295243025,12 14 58.6,+11 51 51
PGC039159,6601.548020750237,12 15 03.9,+13 01 55
PGC039153,6593.850553439636,12 15 04.0,+09 45 13
IC3061,6586.42022373084,12 15 04.5,+14 01 44
IC3063,6581.148099403109,12 15 06.8,+12 01 00
PGC039164,6609.947763635384,12 15 08.6,+14 58 19
IC3065,6577.414468787746,12 15 12.6,+14 25 58
NGC4204,6584.838233136868,12 15 14.5,+20 39 31
IC3066,6607.022661623899,12 15 16.4,+13 28 25
NGC4206,6597.918710409109,12 15 16.8,+13 01 26
SDSSJ121517.12+062335.3,6562.581881565394,12 15 17.1,+06 23 36
PGC039188,6566.1188477350415,12 15 18.3,+05 45 40
SDSSJ121518.94+025538.2,6573.760699684872,12 15 19.1,+02 55 39
SDSSJ121527.31+103044.4,6584.00960496168,12 15 27.3,+10 30 45
NGC4207,6577.503791367817,12 15 30.5,+09 35 06
IC3073,6580.350357023764,12 15 35.7,+13 37 11
PGC039230,6576.207206650632,12 15 39.0,+08 17 01
NGC4212,6583.233474767324,12 15 39.3,+13 54 06
UGC07269,6574.166626347951,12 15 40.1,+15 00 20
IC3074,6582.684997536611,12 15 46.1,+10 41 58
PGC039250,6569.715116529537,12 15 53.8,+14 01 30
NGC4216,6567.32246761758,12 15 54.3,+13 08 58
NGC4215,6573.372066449452,12 15 54.5,+06 24 04
IC3077,6594.474083141337,12 15 56.3,+14 25 59
PGC039255,6578.474635712344,12 15 56.4,+09 39 03
PGC039264,6584.7427582640385,12 16 00.4,+08 12 08
PGC039265,6558.40491375155,12 16 00.4,+04 39 03
IC3081,6584.368951258068,12 16 09.1,+12 41 29
PGC1475898,6575.22996917303,12 16 10.1,+15 07 25
PGC039286,6595.380780808447,12 16 11.5,+11 21 37
PGC039260,6588.169255713791,12 16 11.9,+08 22 24
SDSSJ121612.76+072721.6,6597.789627407807,12 16 12.7,+07 27 22
PGC039288,6584.161804482377,12 16 13.0,+07 55 45
PGC039292,6598.90896105161,12 16 14.6,+13 35 11
PGC039296,6580.63310547384,12 16 15.4,+14 14 32
PGC1466850,6572.986277333395,12 16 20.6,+14 46 26
NGC4222,6590.761427603386,12 16 22.7,+13 18 26
PGC039309,6571.3358610186315,12 16 23.2,+07 47 59
EVCC0248,6569.770642312598,12 16 24.9,+07 29 16
SDSSJ121626.98+060307.6,6595.218001654749,12 16 27.0,+06 03 08
PGC039331,6574.796613449723,12 16 33.7,+13 01 53
NGC4224,6596.971629041364,12 16 33.8,+07 27 43
PGC1376175,6584.374004923658,12 16 34.0,+10 12 23
PGC039333,6614.818979225592,12 16 35.2,+07 02 30
PGC135798,6556.194427161469,12 16 38.7,-01 27 06
SDSSJ121643.25+244306.1,6593.537091978883,12 16 43.2,+24 43 06
PGC039351,6593.093078961336,12 16 47.9,+08 02 56
SDSSJ121649.78+133014.8,6597.725043393283,12 16 50.0,+13 30 14
LSBVCC378,6580.817593900678,12 16 50.1,+07 51 45
EVCC0259,6587.6083217603145,12 16 50.6,+18 20 21
IC3096,6574.481922563596,12 16 52.4,+14 30 53
IC3094,6592.621336196178,12 16 56.0,+13 37 31
PGC039370,6590.628435526987,12 16 58.3,+12 15 49
IC3097,6581.706291036861,12 17 01.1,+09 24 27
UGC07307,6574.559594006318,12 17 04.2,+10 00 20
IC3100,6575.279904331611,12 17 05.5,+12 17 23
SDSSJ121707.14+074401.9,6580.1415733619615,12 17 07.2,+07 44 01
NGC4233,6552.423130707039,12 17 07.7,+07 37 28
NGC4234,6579.393488644794,12 17 09.1,+03 40 58
IC3099,6582.620269442212,12 17 09.3,+12 27 14
NGC4235,6572.894214070432,12 17 09.9,+07 11 30
PGC039392,6601.945308118239,12 17 10.7,+06 25 55
NGC4237,6607.365011331343,12 17 11.4,+15 19 26
UGC07314,6576.765082986556,12 17 14.5,+08 56 32
NGC4239,6606.098665169405,12 17 14.9,+16 31 53
IC3101,6607.596952744301,12 17 19.7,+11 56 37
SDSSJ121722.25+052545.2,6563.52948171932,12 17 22.2,+05 25 45
IC3102,6584.144326877514,12 17 25.8,+06 41 24
PGC039415,6572.916149275669,12 17 26.5,+13 44 13
PGC039413,6605.862419715971,12 17 27.3,+17 39 02
SDSSJ121727.85+071937.6,6569.643032158462,12 17 27.8,+07 19 38
PGC1419134,6586.440845321031,12 17 28.1,+12 55 56
PGC039420,6565.418648920508,12 17 28.9,+08 31 58
PGC039421,6614.547513019253,12 17 29.5,+14 53 10
PGC039424,6575.238814583661,12 17 30.7,+06 41 51
IC3105,6558.043856217714,12 17 33.7,+12 23 16
AGC226054,6599.282752533182,12 17 33.8,+14 23 47
UGC07321,6590.791194523851,12 17 34.0,+22 32 25
PGC1286394,6575.49410851463,12 17 41.2,+05 37 15
SDSSJ121744.76+060457.6,6587.842624510193,12 17 44.8,+06 04 58
SDSSJ121746.61+052236.2,6589.244571249183,12 17 46.6,+05 22 36
PGC039460,6561.538418359285,12 17 47.4,+04 28 42
AGC226055,6611.5391223597235,12 17 49.1,+15 04 52
PGC039467,6591.53141450951,12 17 52.7,+13 10 36
PGC039468,6569.6186188602305,12 17 52.9,+05 01 38
PGC1294753,6582.952235834105,12 17 55.6,+06 06 46
UGC07332,6541.088454349442,12 17 56.0,+00 26 10
NGC4249,6560.261221652657,12 17 59.4,+05 35 55
IC3115,6566.91787329085,12 18 00.0,+06 39 15
AGC226127,6586.877660647695,12 18 00.3,+08 09 55
SDSSJ121804.26+144510.4,6594.443886451861,12 18 04.3,+14 45 11
SDSSJ121804.89+074444.9,6570.912801699493,12 18 04.9,+07 44 45
PGC039488,6600.570432922173,12 18 06.8,+05 41 04
PGC039501,6575.777855503368,12 18 07.3,+05 55 49
IC3118,6599.363073880968,12 18 11.1,+09 29 59
SDSSJ121811.60+043840.2,6559.795002484604,12 18 11.6,+04 38 40
PGC039509,6547.996457465561,12 18 14.4,+06 36 13
IC3120,6583.919252004262,12 18 15.3,+13 44 57
AGC229053,6599.129419543967,12 18 15.5,+25 34 05
PGC039515,6584.710416005828,12 18 17.9,+04 24 09
PGC1314461,6578.234565693926,12 18 18.0,+07 07 41
SDSSJ121820.26+050700.4,6550.680675039884,12 18 20.3,+05 07 01
SDSSJ121820.56+045113.6,6576.044718438139,12 18 20.6,+04 51 14
PGC039532,6565.005682638676,12 18 28.1,+05 36 57
SDSSJ121828.33+060433.9,6535.310637100225,12 18 28.3,+06 04 34
PGC039533,6590.830074581885,12 18 28.5,+06 24 21
NGC4252,6579.156666956057,12 18 30.9,+05 33 34
PGC039539,6565.061972356408,12 18 31.7,+05 50 59
PGC039542,6595.06302916446,12 18 31.9,+13 11 28
PGC039556,6585.27337795131,12 18 38.6,+06 42 30
PGC039561,6579.21961322115,12 18 39.9,+13 35 54
UGC07346,6596.024368828402,12 18 41.8,+17 43 07
PGC039564,6562.087801861746,12 18 42.2,+05 39 56
PGC039565,6570.9635136002935,12 18 42.9,+05 47 20
PGC039566,6583.813489469156,12 18 43.9,+12 23 09
SDSSJ121845.12+061547.3,6589.5457510692295,12 18 45.1,+06 15 47
PGC1193160,6578.114788733011,12 18 47.1,+01 22 54
NGC4254,6584.88858690052,12 18 49.6,+14 25 00
IC3131,6580.688234361165,12 18 50.9,+07 51 43
PGC039584,6598.493332729536,12 18 51.3,+12 35 52
NGC4255,6576.980258429071,12 18 56.2,+04 47 10
PGC039606,6591.390374749621,12 19 00.5,+06 05 41
PGC039610,6573.814447305885,12 19 02.0,+13 58 57
IC0776,6575.875951227657,12 19 03.2,+08 51 22
PGC039619,6583.5259128045955,12 19 05.1,+13 58 52
PGC039621,6594.599950540232,12 19 05.1,+04 39 39
PGC039620,6591.135055933752,12 19 05.9,+05 44 20
NGC4257,6569.513838252611,12 19 06.5,+05 43 33
SDSSJ121907.33+073805.5,6582.379647257066,12 19 07.6,+07 38 03
UGC07354,6595.512116171088,12 19 09.9,+03 51 22
PGC039632,6599.352638720543,12 19 11.2,+12 53 02
PGC039638,6597.748604153974,12 19 12.5,+12 51 07
PGC039639,6579.727926627618,12 19 13.8,+05 59 12
PGC039641,6582.391885770403,12 19 14.2,+13 52 56
PGC039647,6575.411285707086,12 19 15.3,+06 18 25
AGC220354,6570.893259667401,12 19 15.6,+06 17 38
PGC039648,6591.432362364883,12 19 16.4,+15 23 46
SDSSJ121917.10+053442.3,6581.135251211892,12 19 17.1,+05 34 42
PGC039652,6573.065783803641,12 19 20.2,+05 28 00
AGC226061,6573.8956053521115,12 19 20.4,+12 57 10
PGC039653,6571.400061473094,12 19 20.7,+06 42 18
PGC1273077,6585.049434185983,12 19 21.1,+04 46 24
IC3148,6577.131730484532,12 19 21.7,+07 52 14
PGC039655,6598.111651287543,12 19 22.1,+05 54 38
NGC4259,6584.969817137553,12 19 22.2,+05 22 35
NGC4260,6561.608483595709,12 19 22.3,+06 05 56
PGC039660,6573.855746825769,12 19 23.1,+05 47 41
NGC4261,6572.460341368292,12 19 23.2,+05 49 30
[TH2002]230,6571.908031687841,12 19 23.4,+19 35 14
PGC039662,6555.5099881460055,12 19 23.8,+06 13 59
PGC091191,6560.028473585939,12 19 25.9,+00 12 45
PGC039670,6594.961586114954,12 19 25.9,+13 18 38
PGC1270208,6574.584844910226,12 19 27.7,+04 34 42
PGC039672,6552.4034645282545,12 19 27.8,+05 02 51
PGC039669,6559.589540637852,12 19 28.5,+06 16 23
UGC07366,6595.677685842269,12 19 28.7,+17 13 50
NGC4262,6581.695524632567,12 19 30.6,+14 52 40
NGC4264,6560.644954751895,12 19 35.8,+05 50 48
PGC039692,6581.256153946371,12 19 37.0,+15 09 44
EVCC0352,6581.555544669306,12 19 39.3,+07 07 11
UGC07370,6559.0010311414635,12 19 40.3,+02 04 48
NGC4266,6544.77097358676,12 19 42.3,+05 32 18
AGC227980,6584.850253453696,12 19 42.5,+05 35 15
NGC4267,6569.575482739273,12 19 45.3,+12 47 54
IC3155,6567.639631345782,12 19 45.3,+06 00 21
PGC039711,6566.289374075164,12 19 45.3,+05 27 24
NGC4268,6586.6100884254465,12 19 47.2,+05 17 01
2MASXJ12194916+0511061,6579.558480553029,12 19 49.2,+05 11 06
NGC 4269,6582.008705609331,12 19 49.2,+06 00 54
NGC4270,6590.826473489402,12 19 49.4,+05 27 48
PGC039727,6580.556713028985,12 19 51.5,+05 59 47
PGC039730,6566.468465707031,12 19 53.2,+01 46 24
PGC039734 = VCC0381,6606.584095656806,12 19 53.5,+06 39 57
SDSSJ121953.72+060156.4,6593.017149522048,12 19 53.7,+06 01 56
NGC4273,6564.335939966079,12 19 56.1,+05 20 36
IC0781,6585.424542561762,12 20 03.3,+14 57 41
PGC039757,6563.28303562894,12 20 03.5,+06 00 38
NGC4277,6571.459601362035,12 20 03.7,+05 20 27
PGC039760,6571.828238059776,12 20 04.0,+05 24 53
NGC4276,6573.087621389483,12 20 07.5,+07 41 30
PGC039766,6577.358175240551,12 20 08.6,+09 28 04
PGC1211453,6536.371511881356,12 20 11.5,+01 57 31
PGC039772,6563.359844262916,12 20 12.2,+06 37 23
SDSSJ122013.89+050106.1,6578.855453066385,12 20 13.9,+05 01 07
PGC039788,6576.958314316917,12 20 16.2,+05 02 21
UGC07387,6566.428637532413,12 20 17.4,+04 12 07
PGC039792,6573.003141524859,12 20 17.8,+06 00 06
IC3167,6568.609228976046,12 20 18.8,+09 32 43
SDSSJ122020.13+094750.0,6570.964049599361,12 20 20.1,+09 47 50
PGC039799,6575.478444393406,12 20 21.2,+00 22 01
NGC4281,6577.07781735685,12 20 21.5,+05 23 11
PGC039803,6595.07577716974,12 20 21.8,+12 11 16
PGC039804,6582.468508567832,12 20 23.2,+06 08 06
PGC039806,6588.136224415801,12 20 23.3,+13 53 52
NGC4282,6584.798743158345,12 20 24.3,+05 34 22
PGC039813,6576.496668040188,12 20 25.3,+06 54 31
UGC07394,6582.102906896187,12 20 27.7,+01 28 11
PGC1108616,6587.9179645957665,12 20 28.8,-01 50 21
PGC1143004,6554.260956339441,12 20 30.3,-00 27 03
PGC039825,6576.789864997111,12 20 30.7,+13 31 09
SDSSJ122030.92+063823.7,6603.290748187641,12 20 30.9,+06 38 24
UGC07396,6574.8319575474725,12 20 33.8,+00 47 17
PGC039833,6579.941725295985,12 20 33.9,+02 58 04
PGC1289492,6569.298537519038,12 20 35.0,+05 48 27
PGC039838,6589.891486113698,12 20 36.4,+12 53 05
SDSSJ122038.59+055432.3,6571.2239228130675,12 20 38.6,+05 54 32
PGC1278179,6572.556346235408,12 20 40.1,+05 06 18
PGC039845,6585.948474411241,12 20 40.3,+13 53 21
AGC229052,6569.83361933061,12 20 41.1,+24 57 21
PGC039849,6575.466966913369,12 20 43.9,+14 37 52
NGC4287,6567.052954085588,12 20 48.5,+05 38 23
UGC07399A,6600.03531416121,12 20 48.8,+17 29 14
PGC039861,6575.9495083218,12 20 48.8,+06 43 25
PGC1292491,6567.664921965319,12 20 48.9,+05 58 54
PGC039863,6566.747895969782,12 20 51.2,+07 03 33
PGC039866,6580.0678610912055,12 20 52.2,+05 13 55
SDSSJ122054.58+032409.7,6566.0202346712895,12 20 54.6,+03 24 10
SDSSJ122056.32+051120.5,6548.840217256948,12 20 56.3,+05 11 20
PGC039878,6571.341827732175,12 20 57.8,+06 20 22
PGC039883,6599.455978473299,12 21 00.2,+12 43 33
NGC4289,6549.706879940792,12 21 02.3,+03 43 19
PGC039889,6569.8644335322915,12 21 03.7,+07 04 40
PGC039893,6601.234752696619,12 21 04.8,+11 45 17
PGC039902,6578.176372484922,12 21 05.7,+00 33 10
PGC039894,6601.996293788798,12 21 06.0,+11 35 43
PGC1166504,6530.738652371552,12 21 07.0,+00 27 41
PGC039904,6585.811197545288,12 21 11.3,+17 38 19
PGC039905,6581.428339123655,12 21 12.8,+08 57 47
NGC4293,6576.927699058316,12 21 12.9,+18 22 59
AGC226131,6577.994546751067,12 21 13.2,+10 37 32
PGC039910,6582.529587922695,12 21 15.1,+13 20 47
PGC039923,6574.536211385808,12 21 15.3,+05 20 30
NGC4292,6562.226575208612,12 21 16.5,+04 35 44
NGC4294,6587.47830547329,12 21 17.8,+11 30 38
PGC039929,6592.311699527803,12 21 18.6,+04 04 35
PGC039928,6577.604139494671,12 21 19.2,+16 36 33
PGC1291858,6587.021050970654,12 21 22.5,+05 56 52
PGC5065931,6570.343869308247,12 21 26.0,+14 24 42
KDG104,6617.569604257021,12 21 27.2,+15 01 17
PGC039947,6586.101225822806,12 21 29.0,+08 09 03
SDSSJ122130.67+123915.1,6595.424187474034,12 21 30.7,+12 39 15
NGC4298,6589.209340743386,12 21 32.8,+14 36 22
UGC07411,6560.353348744368,12 21 34.1,+04 46 46
IC0782,6561.938398626491,12 21 37.0,+05 45 57
SDSSJ122138.38+084638.0,6593.1758393930895,12 21 38.4,+08 46 38
